City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Oyama,JP,2021-04-18 15:50:37,36.3,139.8,59.0,40,75,14.97,broken clouds
116,Sahbuz,AZ,2021-04-18 15:50:37,39.4072,45.5739,73.4,33,75,2.19,broken clouds
117,Lavrentiya,RU,2021-04-18 15:50:38,65.5833,-171.0,15.19,98,95,2.33,overcast clouds
118,Tuensang,IN,2021-04-18 15:50:38,26.2833,94.8333,62.2,81,42,3.69,scattered clouds
119,El Seibo,DO,2021-04-18 15:50:38,18.7641,-69.0375,84.2,74,40,11.5,scattered clouds
120,Airai,TL,2021-04-18 15:50:39,-8.9266,125.4092,56.93,81,75,2.71,broken clouds
121,Agua Dulce,MX,2021-04-18 15:50:21,18.1333,-94.1333,82.4,83,40,19.57,scattered clouds
122,Tiksi,RU,2021-04-18 15:50:39,71.6872,128.8694,6.48,89,100,12.55,overcast clouds
123,Sambava,MG,2021-04-18 15:50:39,-14.2667,50.1667,76.95,87,100,13.8,light rain
124,Dawlatabad,AF,2021-04-18 15:50:40,36.4141,64.9053,68.76,30,30,8.84,scattered clouds
125,Port-Gentil,GA,2021-04-18 15:50:40,-0.7193,8.7815,87.8,70,20,10.36,few clouds
126,Nome,US,2021-04-18 15:50:40,64.5011,-165.4064,28.0,74,1,5.08,clear sky
127,Kahului,US,2021-04-18 15:49:35,20.8947,-156.47,69.8,94,90,5.75,light rain
128,Port Elizabeth,ZA,2021-04-18 15:50:41,-33.918,25.5701,78.8,29,0,8.05,clear sky
129,Wanaka,NZ,2021-04-18 15:50:41,-44.7,169.15,48.56,92,100,6.55,light rain
130,Mar Del Plata,AR,2021-04-18 15:50:24,-38.0023,-57.5575,71.6,73,75,13.8,broken clouds
131,Cidreira,BR,2021-04-18 15:50:41,-30.1811,-50.2056,73.53,76,15,10.04,few clouds
132,Hithadhoo,MV,2021-04-18 15:50:42,-0.6,73.0833,83.59,60,8,7.85,clear sky
133,Hambantota,LK,2021-04-18 15:50:42,6.1241,81.1185,80.6,94,20,5.75,few clouds
134,Mahanoro,MG,2021-04-18 15:50:42,-19.9,48.8,70.77,79,99,7.38,light rain
135,Mandalgovi,MN,2021-04-18 15:50:42,45.7625,106.2708,44.76,34,17,10.2,few clouds
136,Nanortalik,GL,2021-04-18 15:50:43,60.1432,-45.2371,26.83,48,7,15.32,clear sky
137,Porto Novo,BJ,2021-04-18 15:50:43,6.4965,2.6036,75.2,88,40,6.91,scattered clouds
138,Novobiryusinskiy,RU,2021-04-18 15:50:43,56.9578,97.7076,26.06,93,22,6.22,few clouds
139,Nanga Eboko,CM,2021-04-18 15:50:44,4.6833,12.3667,81.18,65,99,2.15,light rain
140,Geraldton,AU,2021-04-18 15:50:44,-28.7667,114.6,66.2,52,40,9.22,scattered clouds
141,Zhuhai,CN,2021-04-18 15:50:44,22.2769,113.5678,73.4,78,40,18.41,scattered clouds
142,Mandan,US,2021-04-18 15:50:45,46.8267,-100.8896,48.2,70,40,21.85,scattered clouds
143,Antofagasta,CL,2021-04-18 15:50:45,-23.65,-70.4,72.0,72,20,10.36,few clouds
144,Inhambane,MZ,2021-04-18 15:50:45,-23.865,35.3833,75.2,60,20,7.61,few clouds
145,Yellowknife,CA,2021-04-18 15:49:06,62.456,-114.3525,30.2,80,20,4.61,few clouds
146,Laguna,US,2021-04-18 15:50:46,38.421,-121.4238,64.99,33,1,6.91,clear sky
147,Hami,CN,2021-04-18 15:50:46,42.8,93.45,65.23,21,21,18.12,few clouds
148,Cherskiy,RU,2021-04-18 15:50:46,68.75,161.3,27.45,89,100,9.35,overcast clouds
149,Mantua,IT,2021-04-18 15:50:47,45.1667,10.7833,57.99,53,96,1.99,overcast clouds
150,Esperance,AU,2021-04-18 15:50:47,-33.8667,121.9,57.2,82,0,8.05,clear sky
151,Cockburn Town,TC,2021-04-18 15:50:20,21.4612,-71.1419,82.4,69,1,11.5,clear sky
152,Flinders,AU,2021-04-18 15:50:47,-34.5833,150.8552,55.0,84,10,1.01,clear sky
153,Mahina,PF,2021-04-18 15:50:47,-17.5065,-149.489,77.0,78,20,2.3,few clouds
154,Mitchell,US,2021-04-18 15:50:48,43.7094,-98.0298,53.6,40,1,10.36,clear sky
155,Dubrovytsya,UA,2021-04-18 15:50:48,51.5744,26.565,53.38,80,74,10.0,broken clouds
156,Jamame,SO,2021-04-18 15:50:49,0.0722,42.7506,83.34,69,75,9.78,broken clouds
157,Havoysund,NO,2021-04-18 15:50:49,70.9963,24.6622,42.8,65,0,13.8,clear sky
158,Egvekinot,RU,2021-04-18 15:50:49,66.3167,-179.1667,24.01,97,100,10.45,snow
159,Cap Malheureux,MU,2021-04-18 15:50:49,-19.9842,57.6142,77.0,84,100,3.0,overcast clouds
160,Wiarton,CA,2021-04-18 15:50:50,44.7407,-81.1332,51.01,75,40,6.91,scattered clouds
161,Alta Floresta,BR,2021-04-18 15:50:50,-9.8756,-56.0861,82.4,78,75,3.44,broken clouds
162,Tura,IN,2021-04-18 15:50:50,25.5198,90.2201,69.31,67,61,3.94,broken clouds
163,Tuktoyaktuk,CA,2021-04-18 15:50:51,69.4541,-133.0374,14.0,92,20,4.61,few clouds
164,Mogadishu,SO,2021-04-18 15:50:51,2.0371,45.3438,83.75,70,96,11.27,overcast clouds
165,Tibagi,BR,2021-04-18 15:50:51,-24.5094,-50.4136,75.34,56,51,5.1,broken clouds
166,Port Lincoln,AU,2021-04-18 15:50:52,-34.7333,135.8667,58.86,80,29,7.29,scattered clouds
167,Iqaluit,CA,2021-04-18 15:50:52,63.7506,-68.5145,17.6,67,75,3.44,broken clouds
168,Kilosa,TZ,2021-04-18 15:50:53,-6.8333,36.9833,69.4,91,95,3.31,overcast clouds
169,General Pico,AR,2021-04-18 15:50:18,-35.6566,-63.7568,78.12,55,99,14.58,overcast clouds
170,Ipixuna,BR,2021-04-18 15:50:53,-1.7625,-48.8043,80.6,89,75,11.5,moderate rain
171,Sao Filipe,CV,2021-04-18 15:50:53,14.8961,-24.4956,73.8,72,1,14.97,clear sky
172,Deer Lake,CA,2021-04-18 15:50:54,49.1667,-57.4316,37.4,100,90,12.66,mist
173,Taoudenni,ML,2021-04-18 15:50:54,22.6783,-3.9836,96.49,8,0,11.9,clear sky
174,Barrow,US,2021-04-18 15:50:54,71.2906,-156.7887,21.2,79,1,10.36,clear sky
175,Nouakchott,MR,2021-04-18 15:50:55,18.0858,-15.9785,93.2,26,0,11.5,clear sky
176,High Rock,BS,2021-04-18 15:50:55,26.6208,-78.2833,82.4,65,75,8.05,broken clouds
177,Bokoro,TD,2021-04-18 15:50:55,12.3807,17.0568,106.12,4,60,6.42,broken clouds
178,Ugoofaaru,MV,2021-04-18 15:50:55,5.6667,73.0,84.61,71,31,7.61,scattered clouds
179,Severo-Kurilsk,RU,2021-04-18 15:50:56,50.6789,156.125,34.07,85,100,23.35,overcast clouds
180,Fairbanks,US,2021-04-18 15:46:50,64.8378,-147.7164,32.0,69,1,10.36,clear sky
181,Pisco,PE,2021-04-18 15:50:56,-13.7,-76.2167,69.8,78,70,8.05,broken clouds
182,Kodiak,US,2021-04-18 15:50:56,57.79,-152.4072,42.8,81,90,13.8,moderate rain
183,Amahai,ID,2021-04-18 15:50:57,-3.3333,128.9167,78.49,82,99,0.67,overcast clouds
184,Dicabisagan,PH,2021-04-18 15:50:57,17.0818,122.4157,74.8,87,100,16.08,overcast clouds
185,Auray,FR,2021-04-18 15:50:57,47.6703,-2.9918,59.0,38,0,6.91,clear sky
186,Pudozh,RU,2021-04-18 15:50:57,61.8099,36.5345,41.31,69,37,5.55,scattered clouds
187,Kushiro,JP,2021-04-18 15:50:58,42.975,144.3747,41.14,91,55,10.51,moderate rain
188,Vardo,NO,2021-04-18 15:50:58,70.3705,31.1107,41.0,60,0,10.36,clear sky
189,Mollendo,PE,2021-04-18 15:50:58,-17.0231,-72.0147,71.37,73,50,8.08,scattered clouds
190,Puerto Narino,CO,2021-04-18 15:50:58,-3.7703,-70.3831,73.4,100,90,10.36,light rain
191,Segezha,RU,2021-04-18 15:50:59,63.7415,34.3222,37.38,78,7,4.99,clear sky
192,Alekseyevsk,RU,2021-04-18 15:50:59,57.8406,108.3492,14.27,93,100,3.18,overcast clouds
193,Selizharovo,RU,2021-04-18 15:50:59,56.8519,33.4487,51.03,52,39,10.45,scattered clouds
194,Huangpi,CN,2021-04-18 15:50:59,30.8845,114.3779,60.8,63,0,2.24,clear sky
195,Hearst,CA,2021-04-18 15:51:00,49.6835,-83.6665,46.4,34,81,6.91,broken clouds
196,East London,ZA,2021-04-18 15:51:00,-33.0153,27.9116,78.8,47,0,6.91,clear sky
197,Dudinka,RU,2021-04-18 15:51:00,69.4058,86.1778,-14.42,98,39,7.7,scattered clouds
198,Kalispell,US,2021-04-18 15:48:40,48.1958,-114.3129,51.01,53,1,4.61,clear sky
199,Eyrarbakki,IS,2021-04-18 15:51:01,63.863,-21.1481,39.0,80,75,25.32,snow
200,Tasiilaq,GL,2021-04-18 15:51:01,65.6145,-37.6368,26.6,68,20,9.22,few clouds
201,Bambous Virieux,MU,2021-04-18 15:51:01,-20.3428,57.7575,77.0,94,75,16.11,light rain
202,Vila,PT,2021-04-18 15:51:01,42.0304,-8.1588,68.0,43,100,11.01,overcast clouds
203,Vikarabad,IN,2021-04-18 15:51:02,17.3333,77.9,84.2,48,20,4.61,few clouds
204,Rio Gallegos,AR,2021-04-18 15:51:02,-51.6226,-69.2181,57.51,55,100,14.88,overcast clouds
205,Bull Savanna,JM,2021-04-18 15:51:03,17.8868,-77.5902,83.77,57,39,18.72,scattered clouds
206,Hermanus,ZA,2021-04-18 15:51:03,-34.4187,19.2345,73.99,50,10,1.99,clear sky
207,Teguise,ES,2021-04-18 15:51:03,29.0605,-13.564,73.4,53,20,17.27,few clouds
208,La Palma,US,2021-04-18 15:49:45,33.8464,-118.0467,73.99,82,1,5.44,clear sky
209,Arraial Do Cabo,BR,2021-04-18 15:51:04,-22.9661,-42.0278,82.4,69,20,8.05,few clouds
210,Karratha,AU,2021-04-18 15:51:04,-20.7377,116.8463,81.16,55,0,4.32,clear sky
211,Atambua,ID,2021-04-18 15:51:04,-9.1061,124.8925,72.05,82,65,5.44,broken clouds
212,Naryan-Mar,RU,2021-04-18 15:51:04,67.6713,53.087,18.93,92,70,7.36,broken clouds
213,Fukue,JP,2021-04-18 15:51:05,32.6881,128.8419,56.39,53,94,15.28,overcast clouds
214,Ginda,IN,2021-04-18 15:51:05,30.6945,78.4932,51.46,61,6,8.46,clear sky
215,Alcala De Henares,ES,2021-04-18 15:51:05,40.4821,-3.36,66.0,31,0,2.3,clear sky
216,Tiznit,MA,2021-04-18 15:51:06,29.5833,-9.5,73.45,47,88,12.44,overcast clouds
217,Haines Junction,CA,2021-04-18 15:51:06,60.7522,-137.5108,24.8,80,100,1.14,overcast clouds
218,Provideniya,RU,2021-04-18 15:51:07,64.3833,-173.3,26.22,94,99,2.93,overcast clouds
219,Nicoya,CR,2021-04-18 15:51:07,10.1483,-85.452,82.4,74,75,4.61,broken clouds
220,Te Anau,NZ,2021-04-18 15:51:07,-45.4167,167.7167,51.64,84,100,7.27,overcast clouds
221,Kingaroy,AU,2021-04-18 15:51:08,-26.5333,151.8333,50.0,87,0,5.75,clear sky
222,Vestmannaeyjar,IS,2021-04-18 15:51:08,63.4427,-20.2734,39.2,81,40,19.57,scattered clouds
223,Fortuna,US,2021-04-18 15:51:08,40.5982,-124.1573,44.6,100,1,2.59,clear sky
224,Dabou,CI,2021-04-18 15:51:08,5.3256,-4.3769,87.8,70,20,10.36,few clouds
225,Tiarei,PF,2021-04-18 15:51:09,-17.5333,-149.3333,77.0,78,20,2.3,few clouds
226,Teknaf,BD,2021-04-18 15:51:09,20.8624,92.3058,77.76,82,0,1.34,clear sky
227,Umm Lajj,SA,2021-04-18 15:51:09,25.0213,37.2685,81.27,63,0,5.57,clear sky
228,Tessalit,ML,2021-04-18 15:51:10,20.1986,1.0114,99.52,8,3,13.67,clear sky
229,Skowhegan,US,2021-04-18 15:51:00,44.7651,-69.7192,48.0,61,90,6.91,overcast clouds
230,Yamada,JP,2021-04-18 15:51:10,39.4667,141.95,47.97,83,100,8.52,overcast clouds
231,Sarny,UA,2021-04-18 15:51:11,51.338,26.6019,53.65,79,77,8.95,broken clouds
232,Sandakan,MY,2021-04-18 15:51:11,5.8402,118.1179,78.8,89,20,5.79,few clouds
233,Port Alfred,ZA,2021-04-18 15:47:19,-33.5906,26.891,73.74,63,0,7.18,clear sky
234,Carnarvon,AU,2021-04-18 15:46:43,-24.8667,113.6333,76.26,68,0,18.07,clear sky
235,Visby,SE,2021-04-18 15:51:11,57.6409,18.296,55.4,41,0,12.66,clear sky
236,Katangli,RU,2021-04-18 15:51:12,51.7102,143.2326,30.97,98,100,14.23,overcast clouds
237,Surovikino,RU,2021-04-18 15:51:12,48.6078,42.8486,53.92,69,100,7.47,overcast clouds
238,Sault Sainte Marie,CA,2021-04-18 15:51:12,46.5168,-84.3333,50.0,37,1,9.22,clear sky
239,Santa Maria,BR,2021-04-18 15:51:12,-29.6842,-53.8069,77.0,65,75,12.66,broken clouds
240,Hofn,IS,2021-04-18 15:51:13,64.2539,-15.2082,42.8,61,40,27.63,scattered clouds
241,Paita,PE,2021-04-18 15:51:13,-5.0892,-81.1144,87.8,55,0,3.44,clear sky
242,Namibe,AO,2021-04-18 15:51:13,-15.1961,12.1522,83.62,66,20,13.24,few clouds
243,Batemans Bay,AU,2021-04-18 15:51:14,-35.7167,150.1833,55.99,83,56,1.99,broken clouds
244,Georgetown,MY,2021-04-18 15:51:14,5.4112,100.3354,84.2,79,20,4.61,few clouds
245,Tazmalt,DZ,2021-04-18 15:51:14,36.3868,4.3989,59.4,37,86,7.94,overcast clouds
246,Pangai,TO,2021-04-18 15:51:15,-19.8,-174.35,77.67,67,96,8.75,overcast clouds
247,Half Moon Bay,US,2021-04-18 15:51:15,37.4636,-122.4286,61.0,81,1,3.27,clear sky
248,Coquimbo,CL,2021-04-18 15:51:15,-29.9533,-71.3436,57.2,88,90,2.3,overcast clouds
249,Kijang,KR,2021-04-18 15:51:16,35.2442,129.2139,51.8,54,0,2.3,clear sky
250,Isangel,VU,2021-04-18 15:51:16,-19.55,169.2667,77.32,86,31,8.25,heavy intensity rain
251,Ilulissat,GL,2021-04-18 15:51:16,69.2167,-51.1,8.6,56,20,12.66,few clouds
252,Sisimiut,GL,2021-04-18 15:51:16,66.9395,-53.6735,18.55,61,100,14.23,overcast clouds
253,Isla Del Bosque,MX,2021-04-18 15:51:17,22.7333,-105.85,75.2,69,1,5.1,clear sky
254,Halifax,CA,2021-04-18 15:50:01,44.6453,-63.5724,42.8,81,100,8.05,overcast clouds
255,Paamiut,GL,2021-04-18 15:51:17,61.994,-49.6678,25.81,38,99,5.26,overcast clouds
256,Lebu,CL,2021-04-18 15:51:17,-37.6167,-73.65,62.17,66,78,11.32,broken clouds
257,Guiratinga,BR,2021-04-18 15:51:17,-16.3494,-53.7583,88.39,44,3,4.43,clear sky
258,Boa Vista,BR,2021-04-18 15:49:38,2.8197,-60.6733,87.8,48,40,14.97,scattered clouds
259,Jacareacanga,BR,2021-04-18 15:51:18,-6.2222,-57.7528,74.7,95,100,2.57,overcast clouds
260,Macapa,BR,2021-04-18 15:51:18,0.0389,-51.0664,80.6,89,90,6.91,moderate rain
261,Pospelikha,RU,2021-04-18 15:51:18,51.95,81.7667,51.76,51,10,18.07,clear sky
