City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,La Palma,US,73.99,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
209,Arraial Do Cabo,BR,82.4,few clouds,-22.9661,-42.0278,Pousada Porto Praia
210,Karratha,AU,81.16,clear sky,-20.7377,116.8463,ibis Styles Karratha
211,Atambua,ID,72.05,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
215,Alcala De Henares,ES,66.0,clear sky,40.4821,-3.36,Parador de Alcalá de Henares
216,Tiznit,MA,73.45,overcast clouds,29.5833,-9.5,
219,Nicoya,CR,82.4,broken clouds,10.1483,-85.45200000000001,Guayacan Real
224,Dabou,CI,87.8,few clouds,5.3256,-4.3769,Résidence N'Da
225,Tiarei,PF,77.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
226,Teknaf,BD,77.76,clear sky,20.8624,92.3058,Forestry Guesthouse
227,Umm Lajj,SA,81.27,clear sky,25.0213,37.2685,Moon light Furnished Units
228,Tessalit,ML,99.52,clear sky,20.1986,1.0114,
232,Sandakan,MY,78.8,few clouds,5.8402,118.1179,Hotel Sandakan
233,Port Alfred,ZA,73.74,clear sky,-33.5906,26.891,The Halyards Hotel
234,Carnarvon,AU,76.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
239,Santa Maria,BR,77.0,broken clouds,-29.6842,-53.8069,Hotel Morotin
241,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
242,Namibe,AO,83.62,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
244,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
246,Pangai,TO,77.67,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
250,Isangel,VU,77.32,heavy intensity rain,-19.55,169.2667,Tanna Lodge
253,Isla Del Bosque,MX,75.2,clear sky,22.7333,-105.85,ALBERGUE COMUNITARIO ISLA DEL BOSQUE
257,Guiratinga,BR,88.39,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
258,Boa Vista,BR,87.8,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
259,Jacareacanga,BR,74.7,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
260,Macapa,BR,80.6,moderate rain,0.0389,-51.0664,Atalanta Hotel
264,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
265,Pochutla,MX,86.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
267,Esperanza,DO,84.2,scattered clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
271,Bati,ET,73.67,broken clouds,11.1833,40.0167,Adi 01 Kebele
272,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
274,Marawi,PH,75.0,light rain,7.9986,124.2928,Derogongan Residence
277,Rantauprapat,ID,73.33,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
278,Sakakah,SA,91.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
281,Honiara,SB,77.45,broken clouds,-9.4333,159.95,Heritage Park Hotel
284,Maine-Soroa,NE,104.36,scattered clouds,13.2114,12.0241,Complexe
286,Jalu,LY,99.14,overcast clouds,29.0331,21.5482,صاحبة الفخامة
290,Lata,PT,73.0,overcast clouds,40.1629,-8.3327,Casa Maquia
291,Richards Bay,ZA,70.88,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
292,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
293,Palembang,ID,74.62,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
295,Dong Xoai,VN,75.25,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
298,Najran,SA,84.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
300,Ranong,TH,80.02,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
303,Maues,BR,80.08,broken clouds,-3.3836,-57.7186,Hotel Miramar
305,Khorramshahr,IR,96.8,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
306,Port Keats,AU,75.02,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
310,Ambilobe,MG,76.8,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
312,Bondo,CD,75.13,light rain,3.8146,23.6866,
313,Abu Dhabi,AE,87.8,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
314,Makakilo City,US,69.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
315,Mindelo,CV,77.0,few clouds,16.8901,-24.9804,Hotel Gaudi
316,Funadhoo,MV,84.72,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
321,San Cristobal,VE,91.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
322,Banyo,CM,77.29,light rain,6.75,11.8167,Motel JOMBA
324,Pakokku,MM,91.31,scattered clouds,21.3333,95.1,Royal Palace Motel
326,Kidal,ML,103.6,clear sky,18.4411,1.4078,
329,Idil,TR,68.5,broken clouds,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
330,Tanta,EG,90.39,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
331,Quang Ngai,VN,74.19,scattered clouds,15.1167,108.8,Central Hotel
